#id,rmsid,name,type,ra,dec,flux8,flux12,flux14,flux21,jmag,hmag,kmag,vlsr,rgc,kds,d,blank,firlum,firflux,blank2,GAL_LONG,GAL_LAT
293,3241,G033.5237+00.0198,YSO,52:26.7,+00:32:08.9,3.312,4.564,5.68,7.06,15.8,12,8.9,104.5,4.5,tp,6.8,-999,9.50E+03,MIPS/IGA,,33.52365549,0.020105864
294,4913,G033.7131+00.2563,HII region?,51:57.2,+00:48:46.3,0.405,-0.538,0.49,2.77,17,14.4,14.1,42.4,6.3,f,11.3,-999,1.20E+04,MIPS/IGA,,33.7140353,0.256122814
295,3256,G033.8104-00.1869,HII region,53:42.3,+00:41:45.9,8.43,18.794,28.55,55.5,17,12.8,9.5,42.4,6.3,f,11.3,-999,1.90E+05,MIPS/IGA,,33.80980499,-0.186866399
296,3244,G033.9148+00.1093,HII region,52:50.4,+00:55:27.2,10.022,32.78,48.23,160.77,16.2,13.4,10.8,107.9,4.5,tp,6.8,-999,2.00E+05,MIPS/IGA,,33.91434535,0.109385702
297,3261,G034.0126-00.2832,YSO,54:25.1,+00:49:56.6,6.452,8.638,10.94,15.17,11.5,9.6,7.7,11.8,7.8,f,13.3,-999,3.60E+04,MIPS/IGA,,34.0123997,-0.28331682
298,3263,G034.0500-00.2977,YSO,54:32.3,+00:51:32.9,3.831,4.941,4.57,10.61,11,9.6,8.4,11.8,7.8,f,13.3,-999,2.40E+04,MIPS/IGA,,34.04996353,-0.297958796
299,3231,G034.0886+00.4349,Diffuse HII region,52:00.0,+01:13:40.0,1.798,3.596,3.41,8.77,16.2,15,12.9,39,6.5,nw,11.4,-999,6.80E+04,MIPS/IGA,,34.08865663,0.434887914
300,3226,G034.1323+00.4709,HII region,51:57.2,+01:17:02.4,4.804,11.047,10.68,36.8,-999,-999,-999,39,6.5,nw,11.4,-999,1.40E+05,MIPS/IGA,,34.13349256,0.4706801
301,4914,G034.2746-00.1507,HII region,54:25.4,+01:07:34.9,0.318,-0.538,0.44,3.3,-999,-999,-999,44.6,6.3,n,3.0,-999,1.30E+03,MIPS/IGA,,34.27467827,-0.1505284
302,3247,G034.4035+00.2282,HII/YSO,53:18.7,+01:24:48.1,1.193,1.821,2.24,13.6,16.3,13.8,13.5,57.8,5.8,n,3.8,-999,1.40E+04,MIPS/IGA,,34.40337018,0.227634313
303,3270,G034.6243-00.1300,HII region,54:59.3,+01:26:46.5,1.308,2.317,2.41,5.99,18.2,16,12.9,23,7.2,?,1.6,-999,956/5.7e+04,MIPS/IGA,,34.62372611,-0.130201716
304,3291,G034.7123-00.5946,YSO,56:48.3,+01:18:47.1,8.131,10.263,13,26.89,18.4,13.4,9.2,46.7,6.2,n,3.4,-999,1.20E+04,MIPS/IGA,,34.71235924,-0.594905851
305,3266,G034.7569+00.0247,YSO,54:40.7,+01:38:06.8,1.492,2.191,3.35,7.21,-999,-999,-999,77.3,5.2,n,5.0,-999,9.40E+03,MIPS/IGA,,34.75662625,0.02479568
306,3254,G034.8211+00.3519,YSO,53:37.9,+01:50:30.5,18.303,27.469,36.88,42.31,13.4,9.3,6.6,58.6,5.8,n,3.8,-999,9.90E+03,MIPS/IGA,,34.82110555,0.351923591
307,3296,G035.0528-00.5180,HII region,57:09.0,+01:39:02.8,2.995,6.32,7.24,24.03,-999,-999,-999,50.5,6.1,n,3.4,-999,8.10E+03,MIPS/IGA,,35.05234984,-0.517792407
308,3308,G035.1979-00.7427,YSO,58:13.0,+01:40:31.2,1.998,4.435,9.73,106.55,-999,-999,-999,35.2,6.7,nz,2.2,-999,3.10E+04,MIPS/IGA,,35.19579926,-0.743553342
309,3337,G035.1992-01.7424,HII region,01:46.7,+01:13:19.5,19.011,74.862,123.98,560.53,16,13.2,10.7,42.4,6.4,nz,3.3,-999,1.70E+05,MIPS/IGA,,35.19925003,-1.742541359
310,3265,G035.3449+00.3474,YSO,54:36.1,+02:18:20.2,1.721,2.707,3.77,5.24,16.4,14.3,12.8,93.9,4.9,tp,6.8,-999,9.20E+03,MIPS/IGA,,35.34451443,0.347560395
311,3336,G035.3778-01.6405,YSO?,01:44.5,+01:25:38.6,4.117,7.165,9.78,15.95,12.4,9.5,7.5,43.3,6.4,nz,3.3,,2.30E+03,IRAS,,35.3777918,-1.640642115
312,4916,G035.4524-00.2950,HII region,57:05.2,+02:06:30.2,0.66,0.805,0.64,4.1,-999,-999,-999,54.3,6,n,3.4,-999,1.40E+03,MIPS/IGA,,35.45217634,-0.294603403
313,3276,G035.4672+00.1381,HII region,55:34.1,+02:19:10.6,12.399,20.511,30.2,155.53,-999,-999,-999,76.4,5.3,f,8.9,-999,2.50E+05,MIPS/IGA,,35.46703473,0.139252313
314,3283,G035.5423+00.0038,Diffuse HII region,56:11.3,+02:19:29.2,0.224,1.76,2.51,6.91,15,14.2,12.5,54.3,6,n,3.4,-999,2.80E+03,MIPS/IGA,,35.54232094,0.003763767
315,3281,G035.5736+00.0678,HII region,56:01.0,+02:22:53.6,3.181,7.252,8.57,27.4,-999,-999,-999,50.5,6.1,n,3.4,-999,1.00E+04,MIPS/IGA,,35.57333083,0.067717994
316,3288,G035.5789-00.0304,HII region,56:22.6,+02:20:27.6,2.056,4.535,7.67,40.07,17.6,15.3,13.3,54.3,6,n,3.4,-999,3.50E+04,MIPS/IGA,,35.57818699,-0.030618306
317,3279,G035.8546+00.2663,YSO,55:49.3,+02:43:20.3,2.851,3.535,3.94,5.31,12.5,10.1,8.3,29.3,7,n,2.0,-999,1.30E+03,MIPS/IGA,,35.85420221,0.26676275
318,3300,G035.9489-00.1471,HII region,57:28.1,+02:37:04.0,1.67,2.172,1.81,4.8,16.9,14.7,12.9,52.6,6,n,3.4,-999,4.00E+03,MIPS/IGA,,35.94904329,-0.147129586
319,3302,G036.4057+00.0230,HII region,57:42.0,+03:06:05.0,1.23,2.508,4.61,20.87,-999,-999,-999,55.2,6,n,3.4,-999,8.90E+03,MIPS/IGA,,36.40563356,0.022376094
320,3319,G036.8780-00.4728,YSO,00:19.8,+03:17:42.9,0.548,0.919,1.57,7.07,18.2,16.5,12.8,55.2,6,n,3.6,-999,5.00E+03,MIPS/IGA,,36.87803787,-0.472983662
321,3292,G036.9194+00.4825A,YSO,56:59.8,+03:46:03.9,0.758,1.384,1.69,4.62,18.2,16.5,14.5,12.7,7.8,f,12.7,-999,1.00E+04,MIPS/IGA,,36.918316,0.482865212
322,3292,G036.9194+00.4825B,HII region,57:00.1,+03:46:09.9,0.758,1.384,1.69,4.62,17.9,15.2,14.1,12.7,7.8,f,12.7,-999,8.80E+03,MIPS/IGA,,36.92034934,0.482553135
323,3292,G036.9194+00.4825C,HII region,57:00.3,+03:46:11.2,0.758,1.384,1.69,4.62,-999,-999,-999,12.7,7.8,f,12.7,-999,9.20E+03,MIPS/IGA,,36.92101225,0.482052084
324,4370,G037.1977-00.4300,Diffuse HII region,00:45.8,+03:35:57.1,-0.055,0.779,0.85,3.4,16.9,14.9,13.4,37.8,6.7,f,10.3,-999,1.80E+04,MIPS/IGA,,37.19776252,-0.430083831
325,3316,G037.3412-00.0600A,YSO,59:42.3,+03:53:49.1,2.469,3.518,3.39,4.95,-999,-999,-999,57.3,6,-999,10.3,-999,1.70E+04,MIPS/IGA,,37.34185111,-0.059088509
326,3316,G037.3412-00.0600B,HII region,59:43.0,+03:53:38.3,2.469,3.518,3.39,4.95,-999,-999,-999,57.3,6,-999,10.3,-999,3.00E+04,MIPS/IGA,,37.34057005,-0.063158882
327,3322,G037.3566-00.2307,Diffuse HII region,00:20.6,+03:49:54.1,0.65,1.717,1.46,2.76,16.6,15.1,14.3,37.8,6.7,f,10.3,-999,3.90E+04,MIPS/IGA,,37.35668516,-0.23072342
328,3304,G037.4974+00.5301,YSO,57:53.4,+04:18:17.5,2.749,5.651,8.62,15.92,-999,-999,-999,11,7.9,f,12.8,-999,6.10E+04,MIPS/IGA,,37.49789775,0.529890494
329,3318,G037.5450-00.1118,HII region,00:16.0,+04:03:15.4,4.856,12.401,17.36,51.05,17.5,14,11.3,47.5,6.3,f,10.3,-999,1.90E+05,MIPS/IGA,,37.54589155,-0.111936893
330,3314,G037.5536+00.2008,YSO,59:09.9,+04:12:15.6,8.573,14.828,24.74,37.87,18.4,17.4,13,84.9,5.2,n,6.7,-999,3.90E+04,MIPS/IGA,,37.55380118,0.200940496
331,3325,G037.6390-00.1054,HII region,00:25.0,+04:08:25.5,1.372,1.171,1.33,3.06,16.2,14.4,13.3,46.7,6.3,f,10.3,-999,2.70E+04,MIPS/IGA,,37.63946807,-0.10555199
332,3327,G037.7516-00.1094,Diffuse HII region,00:38.2,+04:14:18.2,0.112,1.874,3.66,8.37,17.2,14.6,13.7,45.4,6.4,fw,10.3,-999,3.80E+04,MIPS/IGA,,37.75168067,-0.109525254
333,4918,G037.8195+00.4132,HII region,58:53.7,+04:32:16.0,0.577,0.77,0.72,5.29,16.8,15.5,14.1,17.4,7.6,n,1.2,-999,1.10E+03,MIPS/IGA,,37.81963764,0.413198937
334,3346,G037.8677-00.6011,HII region,02:36.2,+04:07:02.0,2.625,6.633,8.95,29.34,17.4,14.7,12.1,50.5,6.2,f,10.3,-999,6.60E+04,MIPS/IGA,,37.86836909,-0.600970881
335,3341,G037.8730-00.3991,HII region,01:53.6,+04:12:49.6,10.057,45.414,84.51,149.15,17.4,15,12.2,61.2,5.8,f,10.3,-999,5.30E+05,MIPS/IGA,,37.87321462,-0.399487928
336,3335,G038.1208-00.2262A,HII region,01:43.7,+04:30:51.4,1.952,2.59,2.42,5.85,-999,-999,-999,84.1,5.2,tp,6.7,-999,1.40E+04,IRAS,,38.12156335,-0.225370871
337,3335,G038.1208-00.2262B,YSO,01:44.2,+04:30:37.7,1.952,2.59,2.42,5.85,16.9,15.2,12.6,84.1,5.2,tp,6.7,-999,2.90E+03,IRAS,,38.11905439,-0.228811564
338,3334,G038.2577-00.0733,Young/old star?,01:26.2,+04:42:17.4,0.22,1.126,2.15,3.58,-999,-999,-999,16.9,7.6,n,1.1,-999,92,MIPS/IGA,,38.25778337,-0.073647229
339,3365,G038.3543-00.9519,YSO,04:44.9,+04:23:18.6,2.596,3.391,4.2,5.33,17.2,15.5,12,16.9,7.6,nz,1.1,-999,92,IRAS,,38.35459142,-0.951914261
340,3331,G038.5497+00.1636,HII region,01:07.6,+05:04:22.8,1.6,3.683,3.38,8.09,18.3,15,14.2,30.1,7,n,2.0,-999,2.20E+03,MIPS/IGA,,38.54977429,0.163552268
341,3349,G038.6462-00.2260,HII region,02:41.8,+04:58:49.1,0.782,0.96,0.88,3.57,-999,-999,-999,66.2,5.7,f,8.8,-999,1.20E+04,MIPS/IGA,,38.64629917,-0.226385412
342,3358,G038.6930-00.4522,HII region,03:35.4,+04:55:06.3,0.489,0.819,0.69,5.7,-999,-999,-999,50.5,6.2,f,10.2,-999,2.30E+04,MIPS/IGA,,38.69322379,-0.452474854
343,3333,G038.8750+00.3088,HII region,01:12.5,+05:25:43.1,0.87,2.15,2.53,10.91,14.5,12.6,11.6,16.9,7.7,n,1.1,-999,788,MIPS/IGA,,38.87525419,0.308300371
344,3360,G038.9365-00.4592,YSO?,04:03.7,+05:07:53.2,0.947,1.52,2.62,4.57,-999,-999,-999,41.6,6.6,f,10.2,-999,1.30E+04,MIPS/IGA,,38.93642376,-0.459239225
345,3342,G039.1953+00.2254,HII region,02:05.5,+05:40:31.9,0.666,1.934,3.12,11.77,17.1,14.4,13.1,28.8,7.1,?,2.0,-999,1.4e+03/4.5e+04,MIPS/IGA,,39.195482,0.225652024
346,3352,G039.2731-00.0440,HII/YSO??,03:12.0,+05:37:15.5,0.233,-0.658,1.24,2.84,18.3,17,14.3,-999,-999,-999,-999.0,-999,-999,MSX,,39.27328893,-0.044447746
347,4924,G039.3880-00.1421A,HII region,03:46.0,+05:40:40.6,0.679,0.867,0.7,4.18,-999,-999,-999,65.8,5.8,n,9.1,-999,4.50E+04,MIPS/IGA,,39.38839237,-0.143334577
348,4924,G039.3880-00.1421B,YSO,03:45.3,+05:40:42.4,0.679,0.867,0.7,4.18,-999,-999,-999,65.8,5.8,n,9.1,-999,9.50E+03,MIPS/IGA,,39.38758209,-0.140673391
349,3381,G039.4943-00.9933,YSO,06:59.7,+05:22:53.4,5.44,7.125,6.83,18.44,15.6,13.7,10.5,53.2,6.2,nz,3.6,-999,8.00E+03,MIPS/IGA,,39.49390314,-0.99320598
350,3362,G039.5328-00.1969,Young/old star?,04:13.5,+05:46:54.6,1.241,1.806,2.07,3.67,17.9,16.6,11.6,57.8,6,-999,9.1,-999,5.80E+03,MIPS/IGA,,39.53314901,-0.197304988
351,3369,G039.7279-00.3974,Diffuse HII region,05:18.0,+05:51:47.1,1.675,3.751,2.94,6.07,16.3,13.6,11.6,57.8,6,f,9.1,-999,2.80E+04,MIPS/IGA,,39.72795492,-0.397424678
352,3338,G039.8651+00.6474,Diffuse HII region?,01:49.0,+06:27:50.4,0.994,2.437,1.91,5.71,12.3,10.8,10.2,-38.5,12,fo,17.2,-999,5.70E+04,MIPS/IGA,,39.86516627,0.647469673
353,3370,G039.8821-00.3457,HII region?,05:24.1,+06:01:26.4,1.512,2.722,3.74,20.59,17.9,16.7,14,57.8,6,f,9.1,-999,5.10E+04,MIPS/IGA,,39.88253722,-0.346037249
354,3392,G039.9018-01.3513,HII/YSO?,09:02.1,+05:34:44.1,4.221,5.398,4.61,31.2,12.8,12,11.3,48.4,6.3,nz,3.3,,1.30E+04,IRAS,,39.90288344,-1.353134703
355,3371,G039.9284-00.3741A,YSO,05:35.3,+06:03:01.3,0.853,1.161,0.8,3.08,17.8,15.4,13.3,57.8,6,-999,9.1,-999,1.40E+03,MIPS/IGA,,39.927209,-0.375047344
356,3371,G039.9284-00.3741B,Diffuse HII region,05:35.2,+06:03:06.4,0.853,1.161,0.8,3.08,-999,-999,-999,57.8,6,-999,9.1,-999,7.00E+03,MIPS/IGA,,39.92839135,-0.374249525
357,3366,G040.0175-00.1193,HII region,04:50.6,+06:14:53.1,1.514,2.013,1.87,5.49,14.8,13.5,12.6,82.8,5.3,tp,6.4,-999,6.00E+03,MIPS/IGA,,40.01786943,-0.119801222
358,3373,G040.2849-00.2378,YSO,05:45.7,+06:25:52.3,0.614,1.197,1.69,7.07,15.1,13.1,11.7,72.2,5.6,n,5.3,-999,3.60E+03,MIPS/IGA,,40.28526827,-0.238360331
359,3348,G040.4247+00.6989A,HII region,02:39.6,+06:59:08.5,1.33,2.248,2.82,9.3,15.6,14.1,13.4,14.8,7.8,f,12.0,-999,9.90E+03,MIPS/IGA,,40.42491381,0.700068541
360,3348,G040.4247+00.6989B,HII region,02:39.9,+06:59:06.3,1.33,2.248,2.82,9.3,15.6,14.1,13.4,14.8,7.8,f,12.0,-999,9.90E+03,MIPS/IGA,,40.42482506,0.698906305
361,3282,G040.5451+02.5961A,HII region,56:04.5,+07:57:28.6,17.179,24.52,36.28,223.87,-999,-999,-999,33.7,6.9,nz,2.3,,1.60E+04,IRAS,,40.54537745,2.596049132
362,3282,G040.5451+02.5961B,YSO,56:04.6,+07:57:29.2,17.179,24.52,36.28,223.87,16.5,13.1,10.6,33.7,6.9,nz,2.3,,1.60E+04,IRAS,,40.54558239,2.596014622
363,3388,G040.5967-00.7188,Young/old star?,08:03.4,+06:29:12.0,0.209,-0.512,1.21,5.68,-999,-999,-999,67.1,5.8,-999,6.4,-999,9.10E+03,MIPS/IGA,,40.59680452,-0.719285615
364,3376,G040.6225-00.1377,HII region,06:01.6,+06:46:36.1,0.982,2.293,4.94,29.07,18,16.2,13.4,26.7,7.2,?,1.8,-999,4.5e+03/1.7e+05,MIPS/IGA,,40.62249937,-0.138308153
365,3390,G041.0780-00.6365,YSO,08:39.3,+06:57:07.7,0.964,2.49,3.71,5.16,17.3,15.1,12.5,75.2,5.6,n,6.4,-999,3.20E+03,MIPS/IGA,,41.07830866,-0.636547142
366,3384,G041.1241-00.2322,Diffuse HII region,07:17.6,+07:10:44.4,0.371,1.412,2.07,4.53,15,13.3,12.6,60.2,6,-999,4.2,-999,2.6e+03/1.1e+04,MSX,,41.12422454,-0.232349053
367,3379,G041.3780+00.0350,HII region,06:48.4,+07:31:38.6,3.09,4.307,3.27,12.25,16.6,14.3,12.8,60.3,6,f,8.5,-999,2.70E+04,MIPS/IGA,,41.37806399,0.035047502
368,3324,G041.4108+01.8328,Young/old star?,00:24.8,+08:22:49.0,0.147,1,1.6,2.9,17.5,15.5,14.8,31.2,7.1,nz,2.1,,112,IRAS,,41.41093316,1.83276259
369,3383,G041.7410+00.0972,HII region,07:15.5,+07:52:41.8,2.692,5.792,7.06,23.53,18.1,15,13.5,17.8,7.7,f,11.4,-999,5.80E+04,MIPS/IGA,,41.74102344,0.097238955
370,3386,G042.0341+00.1905A,YSO,07:28.2,+08:10:53.2,2.415,5.97,9.4,15.96,16.2,13.9,10.6,18.2,7.6,f,11.4,-999,3.10E+04,MIPS/IGA,,42.03439437,0.190035874
371,3386,G042.0341+00.1905B,HII region,07:27.9,+08:10:59.9,2.415,5.97,9.4,15.96,-999,-999,-999,18.2,7.6,f,11.4,,-999,IRAS,,42.03551528,0.191917594
372,3382,G042.0977+00.3521,YSO,07:00.5,+08:18:44.3,1.163,2.703,5.54,15.09,16,14,12.4,20.7,7.5,-999,11.4,-999,6.80E+04,MIPS/IGA,,42.09809103,0.351547919
373,3399,G042.1099-00.4466,HII/YSO,09:53.6,+07:57:14.5,2.334,4.636,5.37,23.51,16.4,14.1,13.1,57.8,6.1,f,8.5,-999,4.10E+04,MIPS/IGA,,42.10895253,-0.447000447
374,3416,G042.1268-00.6224,Diffuse HII region,10:33.3,+07:53:20.0,3.273,5.99,4.32,12.57,18,15.2,14.8,67.5,5.8,n,5.0,-999,4.00E+04,MIPS/IGA,,42.1268922,-0.62255203
375,3398,G042.4343-00.2597,HII region,09:50.0,+08:19:43.9,4.466,12.645,18.84,67.58,13.2,10.6,8.8,65.4,5.9,n,5.0,-999,1.80E+04,MIPS/IGA,,42.43459406,-0.26076216
376,3402,G043.0786+00.0033A,YSO,10:05.0,+09:01:15.6,1.347,2.168,1.8,3.91,18.3,15.5,12.5,11.8,8,f,11.7,-999,7.30E+03,MIPS/IGA,,43.07721753,0.003703462
377,3402,G043.0786+00.0033B,HII region,10:05.3,+09:01:19.5,1.347,2.168,1.8,3.91,-999,-999,-999,11.8,8,f,11.7,-999,2.70E+04,MIPS/IGA,,43.07867247,0.003254545
378,3408,G043.0932-00.0376,Diffuse HII region,10:15.7,+09:00:58.3,0.75,1.1,1.22,3.07,16,14.7,13.6,11.8,8,f,11.7,-999,1.80E+04,MIPS/IGA,,43.09334328,-0.0376822
379,3405,G043.1492+00.0130,HII/YSO??,10:10.9,+09:05:17.4,12.013,37.408,65.47,179.98,18.1,15.7,12.3,-999,-999,-999,-999.0,-999,-999,MSX,,43.14804333,0.013107875
380,3403,G043.1497+00.0272,Diffuse HII region?,10:08.1,+09:05:46.3,0.621,2.47,3.54,9.2,16,13.7,12.8,11.8,8,f,11.7,-999,4.00E+04,MSX,,43.14974998,0.027215561
381,3414,G043.1635-00.0697A,YSO,10:30.3,+09:03:45.4,1.216,1.37,1.23,3.19,15.5,13.7,12.5,11.8,8,f,11.7,-999,1.10E+04,MIPS/IGA,,43.16214646,-0.069310866
382,3414,G043.1635-00.0697B,HII region,10:30.3,+09:03:45.4,1.216,1.37,1.23,3.19,15.5,13.7,12.5,11.8,8,f,11.7,-999,1.10E+04,MIPS/IGA,,43.16214646,-0.069310866
383,3411,G043.1650-00.0285,HII region,10:21.8,+09:05:02.9,22.412,115.38,214.55,423.86,18.2,14.3,11.1,11.8,8,f,11.7,-999,1.90E+06,MSX,,43.16512397,-0.028421058
384,3407,G043.1679+00.0095,HII region,10:13.5,+09:06:12.9,4.356,17.306,40.04,161.69,-999,-999,-999,11.8,8,f,11.7,,4.40E+06,IRAS,,43.16650549,0.011030178
385,3410,G043.1737-00.0074,Diffuse HII region,10:18.3,+09:06:05.4,7.009,36.71,62.42,125.96,14.2,12,10.8,11.9,8,-999,0.7,-999,2.3e+03/5.5e+05,MSX,,43.17383418,-0.00755771
386,3406,G043.1759+00.0244,HII region,10:11.6,+09:07:06.2,5.01,20.744,36.39,95.98,15.6,14.7,11.5,11.8,8,f,11.7,-999,4.20E+05,MSX,,43.1760856,0.024690844
387,3430,G043.1770-00.5187,HII region,12:08.8,+08:52:05.1,2.683,4.001,3.25,15.85,16.9,14.4,12.4,57.8,6.2,f,8.2,-999,3.60E+04,MIPS/IGA,,43.17718008,-0.51879147
388,3412,G043.1824-00.0260,Diffuse HII region,10:23.3,+09:06:02.1,2.001,12.123,23.32,58.16,17.6,15.5,13.8,11.8,8,f,11.7,-999,2.60E+05,MSX,,43.18246476,-0.02611732
389,3431,G043.1857-00.5259,Diffuse HII region,12:11.3,+08:52:20.2,4.501,13.261,15.5,32.37,15.1,13.2,12,57.8,6.2,f,8.2,-999,3.00E+04,MIPS/IGA,,43.18570112,-0.526045422
390,3415,G043.2376-00.0433,HII region,10:33.2,+09:08:29.4,1.801,3.747,4.55,21.83,15.5,13.4,12.3,11.8,8,f,11.7,-999,1.30E+05,MIPS/IGA,,43.23758693,-0.043376451
391,3424,G043.3061-00.2106,HII region,11:17.0,+09:07:28.9,0.593,1.901,5.01,29.39,16.9,15.4,14,62.4,6,n,4.7,-999,2.00E+04,MIPS/IGA,,43.30598492,-0.210965542
392,3436,G043.5216-00.6476,YSO,13:15.5,+09:06:48.9,1.587,2.197,1.84,4.24,-999,-999,-999,58.2,6.2,f,8.2,-999,3.80E+03,MIPS/IGA,,43.52185982,-0.648172187
393,3428,G043.7955-00.1275,HII region,11:54.1,+09:35:50.2,1.996,3.145,6.1,46.73,-999,-999,-999,40.7,6.7,fw,9.4,-999,4.00E+05,MIPS/IGA,,43.79551909,-0.127556356
394,3429,G043.8152-00.1172,YSO,11:54.2,+09:37:12.7,0.501,0.729,0.87,3.26,17.1,14,11.6,41.6,6.7,n,2.9,-999,1.10E+03,MIPS/IGA,,43.81608068,-0.117423142
395,3449,G043.8896-00.7835,HII region,14:26.2,+09:22:34.6,4.217,15.025,25.86,88.46,16.2,13.7,11,54.3,6.3,n,3.9,-999,1.50E+04,MIPS/IGA,,43.8895123,-0.783820942
396,3389,G043.9674+00.9938,HII region,08:11.0,+10:16:03.2,0.733,1.472,2.98,15.56,15.8,14.2,12.6,-19.7,10,fo,14.1,-999,6.20E+04,MIPS/IGA,,43.96755276,0.993919773
397,3427,G043.9956-00.0111,YSO,11:51.6,+09:49:40.4,3.404,5.644,7.48,29.78,15.6,12.5,9.9,65,6,f,7.5,-999,2.60E+04,MIPS/IGA,,43.99532573,-0.01197753
398,3446,G044.2836-00.5249,YSO,14:14.9,+09:50:43.5,2.336,3.168,3.97,6.86,17.5,15.2,12,65,6,f,6.8,-999,9.50E+03,MIPS/IGA,,44.2835646,-0.525041479
399,3432,G044.3103+00.0416,HII region,12:15.7,+10:07:53.5,0.561,0.919,2.04,13.66,17,15.1,13.3,56.9,6.2,f,7.5,-999,2.90E+04,MIPS/IGA,,44.31019428,0.041038464
400,3437,G045.0711+00.1325,HII region,13:22.1,+10:50:53.4,20.338,53.767,119.28,255.96,17.2,15.6,10.5,59,6.2,n,4.6,,2.90E+05,IRAS,,45.07128315,0.132144974
401,3440,G045.1221+00.1323,HII region,13:27.9,+10:53:35.6,87.522,296.44,455.73,1100,11.9,10,7.9,59,6.2,-999,4.6,-999,3.6e+05/9.1e+05,IRAS,,45.12211227,0.132201233
402,3457,G045.1894-00.4387,YSO,15:39.0,+10:41:14.3,3.025,4.093,4.15,14.57,16.7,14.2,10.8,65,6,tp,6.0,-999,7.20E+03,MIPS/IGA,,45.18923052,-0.438803923
403,3448,G045.4543+00.0600A,HII region,14:21.2,+11:09:11.7,17.728,65.312,119.94,408.3,15.6,12.5,9.8,58.2,6.2,f,7.3,-999,-999,IRAS,,45.45377058,0.059551317
404,3448,G045.4543+00.0600B,YSO,14:21.2,+11:09:11.7,17.728,65.312,119.94,408.3,15.6,12.5,9.8,58.2,6.2,f,7.3,-999,-999,IRAS,,45.45377058,0.059551317
405,3452,G045.4641+00.0284,HII/YSO,14:29.1,+11:08:50.0,0.73,0.819,1.75,10.87,17.6,15.9,14.2,58.2,6.2,f,7.3,-999,1.20E+04,MIPS/IGA,,45.46341849,0.028188908
406,4385,G045.4658+00.0457,HII region,14:25.6,+11:09:28.0,-0.018,-0.31,0.61,16.92,17.9,15.4,12,58.2,6.2,f,7.3,-999,2.90E+04,MSX,,45.46611752,0.045763097
407,3482,G046.0345-01.5825,YSO?,21:22.6,+10:53:58.2,1.02,1.496,1.96,3.52,14.8,12.2,10.3,8,8.2,nz,0.4,,11,IRAS,,46.03460811,-1.582653573
408,3458,G047.0998+00.4799,HII region,15:57.9,+12:48:20.7,1.201,1.663,1.26,5.55,14.7,13.3,13,35,7,?,2.5,-999,1.6e+03/2.1e+04,MIPS/IGA,,47.09998815,0.479269967
409,3466,G047.9002+00.0671,Young/old star?,18:59.8,+13:19:13.7,2.413,3.73,3.81,6.74,12.9,11.3,9.6,72,5.9,n,5.3,-999,3.30E+03,MIPS/IGA,,47.89987778,0.066911137
410,3478,G048.6085+00.0258A,HII region,20:30.7,+13:55:42.2,2.969,6.334,8.54,31.11,-999,-999,-999,17.4,7.8,f,5.0,-999,1.80E+03,MSX,,48.60932784,0.027099188
411,3478,G048.6085+00.0258B,HII region,20:31.2,+13:55:23.4,2.969,6.334,8.54,31.11,-999,-999,-999,17.4,7.8,f,5.0,-999,1.10E+04,MSX,,48.60568623,0.022825511
412,3478,G048.6085+00.0258C,HII region,20:30.9,+13:55:26.6,2.969,6.334,8.54,31.11,-999,-999,-999,17.4,7.8,f,5.0,-999,1.10E+04,MSX,,48.60605307,0.024028495
413,3469,G048.6364+00.2302,HII region,19:49.5,+14:02:51.7,1.403,1.568,1.4,3.41,14.6,13.1,12.2,8,8.2,f,5.0,-999,4.00E+03,MIPS/IGA,,48.63649136,0.23018426
414,3471,G048.6806+00.2239,HII region?,19:56.0,+14:05:01.6,0.892,0.794,1.45,8.22,18,16.6,14.9,17.4,7.8,f,5.0,-999,5.00E+03,MIPS/IGA,,48.68068231,0.223909014
415,3490,G048.9289-00.2795,Diffuse HII region,22:14.8,+14:03:58.3,3.018,10.695,12.01,34.85,14.8,12.3,11.4,68.8,6,n,5.1,-999,6.00E+04,MIPS/IGA,,48.92902084,-0.279585779
416,3503,G048.9897-00.2992A,YSO,22:26.7,+14:06:46.2,2.823,14.355,28.25,71.67,13.2,12,12.1,68.8,6,n,5.1,-999,9.50E+03,MIPS/IGA,,48.99274768,-0.299870499
417,3503,G048.9897-00.2992B,HII region,22:26.1,+14:06:39.7,2.823,14.355,28.25,71.67,-999,-999,-999,68.8,6,n,5.1,-999,2.40E+04,MIPS/IGA,,48.99014558,-0.298833115
418,3500,G049.0343-00.2629,HII region,22:23.5,+14:10:00.8,0.647,2.957,4.1,10.93,15.1,13.5,14,66.2,6.1,tp,5.1,-999,9.30E+03,MSX,,49.03434189,-0.263018202
419,3588,G049.0431-01.0787,YSO,25:22.2,+13:47:19.6,1.66,5.025,9.21,14.57,17.1,14.3,12.2,38.7,6.9,nz,2.9,-999,2.70E+03,IRAS,,49.04294895,-1.078713075
420,3504,G049.2015-00.1876,YSO,22:26.6,+14:20:59.2,0.751,0.944,1.42,7.26,-999,-999,-999,66.2,6.1,tp,5.1,-999,4.30E+03,MIPS/IGA,,49.20149292,-0.187758533
421,3489,G049.2982-00.0582,YSO,22:09.4,+14:29:46.9,0.772,1.168,1.31,2.81,15.6,12.2,9.9,62,6.2,n,5.1,-999,3.90E+03,MIPS/IGA,,49.29820491,-0.05773445
