#id,rmsid,name,type,ra,dec,flux8,flux12,flux14,flux21,jmag,hmag,kmag,vlsr,rgc,kds,d,blank,firlum,firflux,blank2,GAL_LONG,GAL_LAT
29,2437,G012.0260-00.0317,YSO,12:01.9,-18:31:55.7,0.797,1.648,3.05,5.61,16,14.8,13.1,110.6,2.4,fsa,9.9,-999,2.00E+04,MIPS/IGA,,12.02547822,-0.031486392
30,2446,G012.1917-00.1029,Diffuse HII region,12:38.0,-18:25:14.1,2.063,6.683,8.66,18.27,13.7,12,11.1,27,5.4,-999,3.6,-999,5.60E+03,MIPS/IGA,,12.19187037,-0.103057592
31,2445,G012.1993-00.0342A,HII region,12:23.6,-18:22:54.4,0.655,0.935,1.42,8.87,-999,-999,-999,51,4,fsa,11.9,-999,4.40E+04,MIPS/IGA,,12.19857365,-0.034484936
32,2445,G012.1993-00.0342B,YSO,12:23.4,-18:22:51.0,0.655,0.935,1.42,8.87,-999,-999,-999,51,4,fsa,11.9,-999,3.40E+04,MIPS/IGA,,12.19909816,-0.033476415
33,2521,G012.4314-01.1117,HII region,16:51.3,-18:41:30.1,2.371,1.988,4.44,53.45,-999,-999,-999,39.8,4.6,nz,4.1,-999,9.20E+04,MIPS/IGA,,12.43146776,-1.111774283
34,2494,G012.5932-00.5708,Young/old star?,15:10.3,-18:17:32.1,2.384,4.54,5.84,7.73,15.1,13.2,10.1,15.9,6.4,nz,2.2,-999,8.30E+03,MIPS/IGA,,12.59272126,-0.570449917
35,4285,G012.7408+00.3305,Diffuse HII region,12:08.6,-17:43:50.8,-0.039,-0.658,0.89,3.4,9.5,9.2,9,18.3,6.2,nsa,2.4,-999,630,MSX,,12.74091405,0.330502618
36,4287,G012.7465-00.1590,Diffuse HII region,13:57.6,-17:57:38.1,-0.05,1.122,0.75,4.44,17.3,12.7,10.4,-999,-999,-999,-999.0,-999,-999,MSX,,12.74657113,-0.159097609
37,2466,G012.7737-00.1527,Diffuse HII region,13:59.5,-17:56:00.9,1.315,8.025,17.6,49.59,15.5,14.1,12.8,45.1,4.4,-999,4.4,-999,3.0e+04/2.4e+05,MSX,,12.77388392,-0.152793677
38,2476,G012.7890-00.2185,Diffuse HII region?,14:15.9,-17:57:06.1,4.037,5.858,6.22,20.27,14.1,13.5,11.9,35.5,4.9,-999,3.8,-999,9.30E+03,MSX,,12.78908816,-0.218583476
39,2475,G012.8062-00.1987,HII region,14:13.6,-17:55:37.5,21.225,69.329,124.97,679.38,18.1,14.7,12.1,34.4,5,n,3.8,-999,3.10E+05,MSX,,12.80630719,-0.198739207
40,2473,G012.8296-00.1719,Diffuse HII region,14:10.5,-17:53:37.3,1.685,1.67,2.18,6.24,15.8,15.2,13.7,35.4,4.9,-999,3.8,-999,2.9e+03/3.3e+04,MSX,,12.82975482,-0.171979283
41,2487,G012.8600-00.2737,HII region,14:36.4,-17:54:58.4,1.663,2.125,4.65,28.72,17.9,15.8,13.6,35.8,4.9,-999,3.8,-999,1.30E+04,MIPS/IGA,,12.85914133,-0.273122462
42,2434,G012.8909+00.4938A,YSO,11:51.1,-17:31:21.1,2.208,2.629,3.36,12.93,17.5,15.1,12.2,33.8,5,n,3.7,-999,1.60E+04,IRAS,,12.89025065,0.49130855
